Regions,Climate Zone,April,August,December,February,January,July,June,March,May,November,October,September
Ain,Mountains,12.29,19.03,5.95,2.93,5.35,20.84,18.54,6.87,13.82,7.47,11.92,15.93
Aisne,Semi-Ocean,13.35,21.57,11.12,9.29,8.57,21.5,20.76,10.78,15.26,12.62,16.51,19.75
Allier,Continental,17.99,25.19,8.72,6.64,9.09,26.38,26.19,12.22,20.92,11.48,19.51,22.47
Alpes-de-Haute-Provence,Mountains,11.99,20.2,6.69,3.9,6.18,21.09,18.29,7.61,13.31,8.32,11.9,16.58
Alpes-Maritimes,Mediterranean,12.08,23.63,7.48,7.42,5.65,23.73,21.63,8.61,16.06,10.44,14.59,21.68
Ardèche,Mediterranean,11.51,23.85,8.16,4.97,6.21,24.76,20.2,8.11,14.99,9.26,15.17,19.55
Ardennes,Continental,15.34,25.8,9.32,8.26,9.52,28,22.89,11.71,19.38,12.42,17.21,21.91
Ariège,Mountains,11.48,19.01,6.3,3.63,5.54,20.37,18.26,7.1,13.67,6.64,12.76,15.02
Aube,Continental,17.07,25.54,9.04,8.75,9.82,28.57,23.8,11.24,19.2,12.11,17.36,22.8
Aude,Mediterranean,12.6,25.29,10.59,7.16,5.94,26.67,20.03,11.94,15.61,9.8,18.2,20.61
Aveyron,Mountains,11.16,19.98,6.11,4.22,4.32,20.21,18.81,7.71,14.7,8.32,13.45,15.56
Bas-Rhin,Continental,16.66,26.05,9.88,7.78,8.75,28.45,25.58,11.24,18.08,13.23,17.86,21.76
Bouches-du-Rhône,Mediterranean,11.64,23.37,8.32,5.13,6.55,23.95,21.31,9.39,15.36,9.85,15.03,20.25
Calvados,Oceanic,11.57,18.24,11.38,7.93,8.36,17.94,16.73,8.69,14.7,9.99,14.35,18.66
Cantal,Mountains,11.32,18.6,6.06,3.05,4.93,20.47,18.34,7.32,14.13,6.04,12.34,14.73
Charente,Semi-Ocean,12.97,21.64,10.6,7.81,11.03,24.06,21.15,10.26,16.99,12.67,18.03,19.79
Charente-Maritime,Oceanic,11.27,18.57,10.29,7.42,8.14,18.8,17.34,9.19,12.36,9.87,14.02,17.54
Cher,Semi-Ocean,13.15,20.58,10.97,7.71,9.63,22.61,19.3,10.71,15.28,11.56,16.26,18.95
Corrèze,Semi-Ocean,12.81,20.81,10.07,8.15,9.03,21.7,20.28,10.06,15.55,11.95,16.94,19.62
Côte-d'Or,Continental,15.23,25.53,9.13,6.76,7.67,26.43,23.9,11.77,18.27,11.43,16.58,21.84
Côtes-d'Armor,Oceanic,13.92,20.85,13,8.75,9.43,18.4,17.1,9.92,14.77,12,16.96,17.45
Creuse,Semi-Ocean,15.23,23.26,12.75,10.88,11.86,23.26,19.15,12.43,16.97,13.41,15.51,21.13
Deux-Sèvres,Semi-Ocean,12.91,21.52,10.63,8.45,9.76,21.96,20.63,11.33,15.79,12.28,15.86,18.74
Dordogne,Semi-Ocean,13.59,22.37,10.56,8.94,8.97,24.45,19.13,13.78,15.34,13.08,16.86,20.7
Doubs,Mountains,12,19.82,5.07,3.44,7.58,20.99,19.86,9.16,14.52,7.55,11.78,17.65
Drôme,Mediterranean,11.67,23.06,7.47,5.06,5.93,24.25,20.26,8.07,14.89,8.17,14.58,20
Essonne,Semi-Ocean,12.92,20.91,10.68,8.34,8.53,22.37,19.76,10.24,15.56,11.15,15.98,18.98
Eure,Oceanic,12.17,19.27,10.77,7.95,7.99,18.92,17.04,8.64,12.57,9.95,15.67,16.61
Eure-et-Loir,Semi-Ocean,12.89,21.7,11.32,8.18,9.76,21.88,19.22,11.08,16.18,12.24,16.32,19.54
Finistère,Oceanic,12.77,17.63,10.09,7.8,9.33,18.72,16.91,9.16,12.42,10.15,15.92,17.33
Gard,Mediterranean,11.28,25.12,9.16,6.6,7.49,25.56,19.61,8.98,15.24,10.76,15.12,19.42
